127.0.0.1, 2017-04-20 17:47:49, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.001229
127.0.0.1, 2017-04-20 17:47:49, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.000429
127.0.0.1, 2017-04-20 17:47:50, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.000483
127.0.0.1, 2017-04-20 17:48:01, GET, /welcome/default/index, HTTP/1.1, 200, 0.065333
127.0.0.1, 2017-04-20 17:48:06, GET, /welcome/default/index/main, HTTP/1.1, 200, 0.084955
127.0.0.1, 2017-04-20 17:48:09, GET, /welcome/default/index/main, HTTP/1.1, 200, 0.024602
127.0.0.1, 2017-04-20 17:49:02, GET, /admin/default/site, HTTP/1.1, 200, 0.118122
127.0.0.1, 2017-04-20 17:49:02, GET, /, HTTP/1.1, 303, 0.000431
127.0.0.1, 2017-04-20 17:49:02, GET, /welcome/default/index, HTTP/1.1, 200, 0.057226
127.0.0.1, 2017-04-20 17:49:03, GET, /admin/default/site, HTTP/1.1, 200, 0.039726
127.0.0.1, 2017-04-20 17:49:05, GET, /, HTTP/1.1, 303, 0.000562
127.0.0.1, 2017-04-20 17:49:05, GET, /main, HTTP/1.1, 200, 0.300338
127.0.0.1, 2017-04-20 17:49:05, GET, /main/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002866
127.0.0.1, 2017-04-20 17:49:05, GET, /main/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000894
127.0.0.1, 2017-04-20 17:49:05, GET, /main/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001079
127.0.0.1, 2017-04-20 17:49:05, GET, /main/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001023
127.0.0.1, 2017-04-20 17:49:05, GET, /main/static/js/jquery.js, HTTP/1.1, 200, 0.003121
127.0.0.1, 2017-04-20 17:49:05, GET, /main/static/js/calendar.js, HTTP/1.1, 200, 0.002077
127.0.0.1, 2017-04-20 17:49:05, GET, /main/static/js/share.js, HTTP/1.1, 200, 0.000940
127.0.0.1, 2017-04-20 17:49:05, GET, /main/static/js/web2py.js, HTTP/1.1, 200, 0.001098
127.0.0.1, 2017-04-20 17:49:05, GET, /main/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.003033
127.0.0.1, 2017-04-20 17:49:05, GET, /main/static/css/calendar.css, HTTP/1.1, 200, 0.004574
127.0.0.1, 2017-04-20 17:49:06, GET, /main/static/images/background.jpg, HTTP/1.1, 200, 0.000583
127.0.0.1, 2017-04-20 17:49:06, GET, /main/static/images/gplus-32.png, HTTP/1.1, 200, 0.000735
127.0.0.1, 2017-04-20 17:49:06, GET, /main/static/images/twitter.png, HTTP/1.1, 200, 0.000661
127.0.0.1, 2017-04-20 17:49:06, GET, /main/static/images/facebook.png, HTTP/1.1, 200, 0.001837
127.0.0.1, 2017-04-20 17:49:06, GET, /main/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000429
127.0.0.1, 2017-04-20 17:49:06, GET, /main/static/images/favicon.ico, HTTP/1.1, 200, 0.000378
127.0.0.1, 2017-04-20 17:59:05, GET, /main/static/test.html, HTTP/1.1, 200, 0.002234
127.0.0.1, 2017-04-20 18:15:12, GET, /main/static/test.html, HTTP/1.1, 200, 0.009153
127.0.0.1, 2017-04-20 18:15:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000888
127.0.0.1, 2017-04-20 18:15:22, GET, /main/static/hello, HTTP/1.1, 404, 0.002704
127.0.0.1, 2017-04-20 18:15:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000360
127.0.0.1, 2017-04-20 18:15:31, GET, /main/hello, HTTP/1.1, 404, 0.068348
127.0.0.1, 2017-04-20 18:15:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000225
127.0.0.1, 2017-04-20 18:15:44, GET, /main/hello.html, HTTP/1.1, 400, 0.000268
127.0.0.1, 2017-04-20 18:15:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000392
127.0.0.1, 2017-04-20 18:16:06, GET, /main/hellopython, HTTP/1.1, 200, 0.033551
127.0.0.1, 2017-04-20 18:16:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000338
127.0.0.1, 2017-04-20 18:16:14, GET, /main/hellopython/index, HTTP/1.1, 200, 0.017122
127.0.0.1, 2017-04-20 18:16:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000358
127.0.0.1, 2017-04-20 18:17:13, GET, /main/hellopython/index, HTTP/1.1, 200, 0.054888
127.0.0.1, 2017-04-20 18:17:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000247
127.0.0.1, 2017-04-20 18:17:16, GET, /main/hellopython/index, HTTP/1.1, 200, 0.011372
127.0.0.1, 2017-04-20 18:17:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000318
127.0.0.1, 2017-04-20 18:17:23, GET, /main/, HTTP/1.1, 200, 0.036164
127.0.0.1, 2017-04-20 18:17:23, GET, /main/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000771
127.0.0.1, 2017-04-20 18:17:23, GET, /main/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000628
127.0.0.1, 2017-04-20 18:17:23, GET, /main/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000609
127.0.0.1, 2017-04-20 18:17:23, GET, /main/static/css/calendar.css, HTTP/1.1, 200, 0.001272
127.0.0.1, 2017-04-20 18:17:23, GET, /main/static/js/jquery.js, HTTP/1.1, 200, 0.000594
127.0.0.1, 2017-04-20 18:17:23, GET, /main/static/js/calendar.js, HTTP/1.1, 200, 0.001006
127.0.0.1, 2017-04-20 18:17:23, GET, /main/static/js/web2py.js, HTTP/1.1, 200, 0.000602
